Image_Name,Status,Timestamp
Anomaly_1sGuoI.jpg,Anomaly,05/07/2025 10:58:31
Anomaly_1wL0It.jpg,Anomaly,05/07/2025 11:09:29
Anomaly_5AWN4c.jpg,Anomaly,05/07/2025 11:20:28
Anomaly_5LHGh2.jpg,Anomaly,05/07/2025 12:37:36
Anomaly_5yGT6x.jpg,Anomaly,05/07/2025 12:48:35
Anomaly_6SGr75.jpg,Anomaly,05/07/2025 12:59:34
Anomaly_8jDnQe.jpg,Anomaly,05/07/2025 16:08:08
Anomaly_A1B6Lc.jpg,Anomaly,05/07/2025 16:19:07
Anomaly_BfA3Y1.jpg,Anomaly,05/07/2025 16:30:06
Anomaly_c5sSiH.jpg,Anomaly,05/07/2025 20:24:57
Anomaly_CjciOe.jpg,Anomaly,05/07/2025 20:35:56
Anomaly_CQTRtA.jpg,Anomaly,06/07/2025 12:20:04
Anomaly_dw04Ee.jpg,Anomaly,06/07/2025 12:31:03
Anomaly_EF4Vmz.jpg,Anomaly,06/07/2025 12:42:02
Anomaly_eiVYfO.jpg,Anomaly,06/07/2025 16:48:46
Anomaly_f6Xd5B.jpg,Anomaly,06/07/2025 16:59:45
Anomaly_FVuemZ.jpg,Anomaly,06/07/2025 17:10:44
Anomaly_gTEiv4.jpg,Anomaly,06/07/2025 18:04:53
Anomaly_hm9J7i.jpg,Anomaly,06/07/2025 18:15:52
Anomaly_hozNnV.jpg,Anomaly,06/07/2025 18:26:50
Anomaly_Hptn3M.jpg,Anomaly,07/07/2025 10:18:26
Anomaly_I3ygJ5.jpg,Anomaly,07/07/2025 12:44:50
Anomaly_iLnd1F.jpg,Anomaly,07/07/2025 12:55:48
Anomaly_jbgDRV.jpg,Anomaly,07/07/2025 15:44:23
Anomaly_jDZh3U.jpg,Anomaly,07/07/2025 15:55:22
Anomaly_jHqZsG.jpg,Anomaly,07/07/2025 17:57:54
Anomaly_krUhUk.jpg,Anomaly,07/07/2025 18:08:53
Anomaly_KthCVi.jpg,Anomaly,08/07/2025 12:52:34
Anomaly_LuwxtE.jpg,Anomaly,08/07/2025 13:03:33
Anomaly_meBI1W.jpg,Anomaly,08/07/2025 13:14:32
Anomaly_MooxjO.jpg,Anomaly,08/07/2025 15:35:51
Anomaly_OCJZcb.jpg,Anomaly,08/07/2025 15:46:50
Anomaly_Oi7eqL.jpg,Anomaly,08/07/2025 20:26:05
Anomaly_OPAVYX.jpg,Anomaly,08/07/2025 20:37:03
Anomaly_OSYQw8.jpg,Anomaly,08/07/2025 20:48:02
